index,angle,houghAngle,houghConfidence,projectionAngle,projectionConfidence,freqHoughAngle,freqHoughConfidence
1,-10.00,-10.00,1.00,-10.00,0.86,-10.00,0.07
1,-9.75,-10.00,0.90,-10.00,0.50,-10.00,0.02
1,-9.50,-10.00,0.23,-10.00,0.32,-9.00,0.01
1,-9.25,-9.00,0.80,-9.00,0.51,-9.00,0.02
1,-9.00,-9.00,1.00,-9.00,0.84,-9.00,0.05
1,-8.75,-9.00,0.83,-9.00,0.50,-9.00,0.02
1,-8.50,-8.00,0.18,-8.00,0.32,-8.00,0.01
1,-8.25,-8.00,0.90,-8.00,0.52,-8.00,0.02
1,-8.00,-8.00,1.00,-8.00,0.84,-8.00,0.05
1,-7.75,-8.00,0.70,-8.00,0.50,-8.00,0.01
1,-7.50,-7.00,0.26,-7.00,0.33,-7.00,0.02
1,-7.25,-7.00,0.92,-7.00,0.52,-7.00,0.04
1,-7.00,-7.00,1.00,-7.00,0.86,-7.00,0.08
1,-6.75,-7.00,0.85,-7.00,0.52,-7.00,0.01
1,-6.50,-6.00,0.25,-6.00,0.33,-7.00,0.01
1,-6.25,-6.00,0.85,-6.00,0.52,-6.00,0.03
1,-6.00,-6.00,1.00,-6.00,0.89,-6.00,0.02
1,-5.75,-6.00,0.71,-6.00,0.52,-6.00,0.01
1,-5.50,-5.00,0.26,-5.00,0.34,-5.00,0.01
1,-5.25,-5.00,0.78,-5.00,0.52,-5.00,0.03
1,-5.00,-5.00,1.00,-5.00,0.89,-5.00,0.16
1,-4.75,-5.00,0.80,-5.00,0.55,-5.00,0.02
1,-4.50,-4.00,0.18,-4.00,0.35,-4.00,0.01
1,-4.25,-4.00,0.83,-4.00,0.54,-4.00,0.02
1,-4.00,-4.00,1.00,-4.00,0.94,-4.00,0.05
1,-3.75,-4.00,0.84,-4.00,0.54,-4.00,0.01
1,-3.50,-3.00,0.19,-3.00,0.36,-4.00,0.01
1,-3.25,-3.00,0.76,-3.00,0.58,-3.00,0.02
1,-3.00,-3.00,1.00,-3.00,0.95,-3.00,0.14
1,-2.75,-3.00,0.82,-3.00,0.58,-3.00,0.02
1,-2.50,-3.00,0.22,-2.00,0.36,-3.00,0.01
1,-2.25,-2.00,0.89,-2.00,0.59,-2.00,0.02
1,-2.00,-2.00,1.00,-2.00,0.98,-2.00,0.04
1,-1.75,-2.00,0.87,-2.00,0.60,-2.00,0.01
1,-1.50,-2.00,0.14,-1.00,0.38,-1.00,0.01
1,-1.25,-1.00,0.83,-1.00,0.63,-1.00,0.04
1,-1.00,-1.00,1.00,-1.00,0.91,-1.00,0.04
1,-0.75,-1.00,0.84,-1.00,0.67,-1.00,0.02
1,-0.50,0.00,0.20,-1.00,0.43,2.00,0.02
1,-0.25,0.00,0.77,-0.00,0.88,0.00,0.02
1,0.00,0.00,1.00,-0.00,0.53,0.00,0.08
1,0.25,0.00,0.84,-0.00,0.88,0.00,0.02
1,0.50,1.00,0.26,1.00,0.45,1.00,0.01
1,0.75,1.00,0.74,1.00,0.68,1.00,0.02
1,1.00,1.00,1.00,1.00,0.90,1.00,0.03
1,1.25,1.00,0.73,1.00,0.63,1.00,0.03
1,1.50,2.00,0.22,1.00,0.39,1.00,0.01
1,1.75,2.00,0.77,2.00,0.61,2.00,0.02
1,2.00,2.00,1.00,2.00,1.00,2.00,0.05
1,2.25,2.00,0.83,2.00,0.59,2.00,0.02
1,2.50,3.00,0.23,3.00,0.35,2.00,0.01
1,2.75,3.00,0.84,3.00,0.61,3.00,0.02
1,3.00,3.00,1.00,3.00,0.96,3.00,0.08
1,3.25,3.00,0.88,3.00,0.60,3.00,0.01
1,3.50,3.00,0.22,3.00,0.36,3.00,0.01
1,3.75,4.00,0.75,4.00,0.55,4.00,0.02
1,4.00,4.00,1.00,4.00,0.98,4.00,0.04
1,4.25,4.00,0.92,4.00,0.55,4.00,0.01
1,4.50,4.00,0.16,5.00,0.36,4.00,0.01
1,4.75,5.00,0.85,5.00,0.57,5.00,0.02
1,5.00,5.00,1.00,5.00,0.90,5.00,0.11
1,5.25,5.00,0.78,5.00,0.54,5.00,0.02
1,5.50,5.00,0.22,5.00,0.35,5.00,0.01
1,5.75,6.00,0.85,6.00,0.55,6.00,0.01
1,6.00,6.00,1.00,6.00,0.92,6.00,0.03
1,6.25,6.00,0.75,6.00,0.53,6.00,0.04
1,6.50,6.00,0.19,6.00,0.34,6.00,0.01
1,6.75,7.00,0.83,7.00,0.55,7.00,0.01
1,7.00,7.00,1.00,7.00,0.90,7.00,0.10
1,7.25,7.00,0.71,7.00,0.54,7.00,0.03
1,7.50,7.00,0.17,8.00,0.35,7.00,0.01
1,7.75,8.00,0.77,8.00,0.53,8.00,0.02
1,8.00,8.00,1.00,8.00,0.88,8.00,0.04
1,8.25,8.00,0.90,8.00,0.55,8.00,0.02
1,8.50,8.00,0.20,8.00,0.35,8.00,0.01
1,8.75,9.00,0.82,9.00,0.53,9.00,0.01
1,9.00,9.00,1.00,9.00,0.87,9.00,0.03
1,9.25,9.00,0.84,9.00,0.55,9.00,0.02
1,9.50,9.00,0.21,10.00,0.36,9.00,0.02
1,9.75,10.00,0.96,10.00,0.54,10.00,0.02
1,10.00,10.00,1.00,10.00,0.88,10.00,0.26
2,-10.00,-10.00,1.00,-10.00,0.92,-10.00,0.03
2,-9.75,-10.00,0.79,-10.00,0.55,-10.00,0.01
2,-9.50,-10.00,0.29,-10.00,0.35,-9.00,0.01
2,-9.25,-9.00,0.84,-9.00,0.53,-9.00,0.03
2,-9.00,-9.00,1.00,-9.00,0.92,-9.00,0.03
2,-8.75,-9.00,0.79,-9.00,0.54,-9.00,0.01
2,-8.50,-9.00,0.25,-8.00,0.34,-8.00,0.01
2,-8.25,-8.00,0.80,-8.00,0.55,-8.00,0.01
2,-8.00,-8.00,1.00,-8.00,0.88,-8.00,0.04
2,-7.75,-8.00,0.77,-8.00,0.52,-8.00,0.01
2,-7.50,-7.00,0.25,-8.00,0.33,-7.00,0.01
2,-7.25,-7.00,0.73,-7.00,0.54,-7.00,0.02
2,-7.00,-7.00,1.00,-7.00,0.90,-7.00,0.03
2,-6.75,-7.00,0.78,-7.00,0.54,-7.00,0.01
2,-6.50,-6.00,0.39,-7.00,0.34,-7.00,0.01
2,-6.25,-6.00,0.71,-6.00,0.54,-6.00,0.02
2,-6.00,-6.00,1.00,-6.00,0.92,-6.00,0.02
2,-5.75,-6.00,0.74,-6.00,0.52,-6.00,0.01
2,-5.50,-5.00,0.23,-6.00,0.34,-5.00,0.01
2,-5.25,-5.00,0.83,-5.00,0.54,-5.00,0.02
2,-5.00,-5.00,1.00,-5.00,0.93,-5.00,0.04
2,-4.75,-5.00,0.76,-5.00,0.53,-5.00,0.01
2,-4.50,-4.00,0.19,-4.00,0.34,-3.00,0.01
2,-4.25,-4.00,0.74,-4.00,0.55,-4.00,0.02
2,-4.00,-4.00,1.00,-4.00,0.92,-4.00,0.04
2,-3.75,-4.00,0.82,-4.00,0.56,-4.00,0.01
2,-3.50,-3.00,0.30,-3.00,0.35,-3.00,0.01
2,-3.25,-3.00,0.83,-3.00,0.56,-3.00,0.01
2,-3.00,-3.00,1.00,-3.00,0.97,-3.00,0.03
2,-2.75,-3.00,0.79,-3.00,0.58,-3.00,0.01
2,-2.50,-2.00,0.23,-3.00,0.36,-3.00,0.01
2,-2.25,-2.00,0.73,-2.00,0.59,-2.00,0.02
2,-2.00,-2.00,1.00,-2.00,0.99,-2.00,0.02
2,-1.75,-2.00,0.71,-2.00,0.59,-2.00,0.01
2,-1.50,-2.00,0.24,-2.00,0.35,0.00,0.01
2,-1.25,-1.00,0.81,-1.00,0.61,-1.00,0.02
2,-1.00,-1.00,1.00,-1.00,1.00,-1.00,0.02
2,-0.75,-1.00,0.69,-1.00,0.66,-1.00,0.01
2,-0.50,-1.00,0.23,-0.00,0.53,-1.00,0.01
2,-0.25,0.00,0.85,-1.00,0.30,0.00,0.01
2,0.00,0.00,1.00,-0.00,0.68,0.00,0.09
2,0.25,0.00,0.67,1.00,0.30,0.00,0.02
2,0.50,1.00,0.19,-0.00,0.54,1.00,0.01
2,0.75,1.00,0.77,1.00,0.66,1.00,0.01
2,1.00,1.00,1.00,1.00,1.00,1.00,0.01
2,1.25,1.00,0.83,1.00,0.63,1.00,0.02
2,1.50,2.00,0.29,1.00,0.35,4.00,0.01
2,1.75,2.00,0.82,2.00,0.59,2.00,0.01
2,2.00,2.00,1.00,2.00,0.99,2.00,0.02
2,2.25,2.00,0.79,2.00,0.59,2.00,0.02
2,2.50,3.00,0.20,2.00,0.37,3.00,0.01
2,2.75,3.00,0.87,3.00,0.57,3.00,0.01
2,3.00,3.00,1.00,3.00,0.97,3.00,0.02
2,3.25,3.00,0.78,3.00,0.57,3.00,0.01
2,3.50,4.00,0.27,3.00,0.36,3.00,0.01
2,3.75,4.00,0.87,4.00,0.55,4.00,0.01
2,4.00,4.00,1.00,4.00,0.91,4.00,0.05
2,4.25,4.00,0.79,4.00,0.56,4.00,0.02
2,4.50,5.00,0.19,4.00,0.35,4.00,0.01
2,4.75,5.00,0.81,5.00,0.53,5.00,0.01
2,5.00,5.00,1.00,5.00,0.91,5.00,0.03
2,5.25,5.00,0.80,5.00,0.54,5.00,0.02
2,5.50,6.00,0.28,5.00,0.34,5.00,0.01
2,5.75,6.00,0.70,6.00,0.53,6.00,0.01
2,6.00,6.00,1.00,6.00,0.88,6.00,0.02
2,6.25,6.00,0.82,6.00,0.55,6.00,0.02
2,6.50,7.00,0.27,6.00,0.35,10.00,0.01
2,6.75,7.00,0.68,7.00,0.54,7.00,0.01
2,7.00,7.00,1.00,7.00,0.90,7.00,0.02
2,7.25,7.00,0.74,7.00,0.55,7.00,0.02
2,7.50,8.00,0.30,7.00,0.34,7.00,0.01
2,7.75,8.00,0.76,8.00,0.53,8.00,0.01
2,8.00,8.00,1.00,8.00,0.89,8.00,0.03
2,8.25,8.00,0.75,8.00,0.56,8.00,0.01
2,8.50,9.00,0.17,8.00,0.36,8.00,0.01
2,8.75,9.00,0.79,9.00,0.54,9.00,0.01
2,9.00,9.00,1.00,9.00,0.91,9.00,0.03
2,9.25,9.00,0.67,9.00,0.54,9.00,0.01
2,9.50,9.00,0.21,9.00,0.36,10.00,0.01
2,9.75,10.00,0.82,10.00,0.55,10.00,0.01
2,10.00,10.00,1.00,10.00,0.92,10.00,0.03
3,-10.00,-10.00,1.00,-10.00,0.85,-10.00,0.07
3,-9.75,-10.00,0.82,-10.00,0.50,-10.00,0.02
3,-9.50,-10.00,0.22,-9.00,0.31,-9.00,0.02
3,-9.25,-9.00,0.79,-9.00,0.50,-9.00,0.04
3,-9.00,-9.00,1.00,-9.00,0.82,-9.00,0.03
3,-8.75,-9.00,0.84,-9.00,0.48,-9.00,0.02
3,-8.50,-9.00,0.19,-8.00,0.32,-8.00,0.02
