index,angle,houghAngle,houghConfidence,projectionAngle,projectionConfidence,freqHoughAngle,freqHoughConfidence
2,-6.00,-6.00,1.00,-6.00,0.98,-6.00,0.01
2,-5.75,-6.00,0.55,-6.00,0.88,-6.00,0.01
2,-5.50,-5.00,0.08,-6.00,0.83,-5.00,0.01
2,-5.25,-5.00,0.54,-5.00,0.89,-5.00,0.01
2,-5.00,-5.00,1.00,-5.00,0.98,-5.00,0.02
2,-4.75,-5.00,0.51,-5.00,0.88,-5.00,0.01
2,-4.50,-4.00,0.07,-4.00,0.84,-3.00,0.01
2,-4.25,-4.00,0.44,-4.00,0.89,-4.00,0.01
2,-4.00,-4.00,1.00,-4.00,0.98,-4.00,0.02
2,-3.75,-4.00,0.55,-4.00,0.89,-4.00,0.01
2,-3.50,-3.00,0.12,-3.00,0.84,-3.00,0.01
2,-3.25,-3.00,0.57,-3.00,0.89,-3.00,0.01
2,-3.00,-3.00,1.00,-3.00,0.99,-3.00,0.02
2,-2.75,-3.00,0.52,-3.00,0.89,-3.00,0.01
2,-2.50,-2.00,0.08,-3.00,0.84,-3.00,0.01
2,-2.25,-2.00,0.45,-2.00,0.90,-2.00,0.01
2,-2.00,-2.00,1.00,-2.00,1.00,-2.00,0.01
2,-1.75,-2.00,0.51,-2.00,0.90,-2.00,0.01
2,-1.50,-2.00,0.09,-2.00,0.84,0.00,0.01
2,-1.25,-1.00,0.52,-1.00,0.90,-1.00,0.01
2,-1.00,-1.00,1.00,-1.00,1.00,-1.00,0.01
2,-0.75,-1.00,0.49,-1.00,0.91,-1.00,0.01
2,-0.50,-1.00,0.08,-0.00,0.88,-1.00,0.00
2,-0.25,0.00,0.51,-1.00,0.83,0.00,0.01
2,0.00,0.00,1.00,-0.00,0.92,0.00,0.05
2,0.25,0.00,0.47,1.00,0.82,0.00,0.01
2,0.50,1.00,0.07,-0.00,0.89,1.00,0.01
2,0.75,1.00,0.44,1.00,0.91,1.00,0.01
2,1.00,1.00,1.00,1.00,1.00,1.00,0.01
2,1.25,1.00,0.60,1.00,0.91,1.00,0.01
2,1.50,2.00,0.11,1.00,0.84,4.00,0.01
2,1.75,2.00,0.50,2.00,0.90,2.00,0.01
2,2.00,2.00,1.00,2.00,1.00,2.00,0.01
2,2.25,2.00,0.62,2.00,0.90,2.00,0.01
2,2.50,3.00,0.07,2.00,0.84,3.00,0.01
2,2.75,3.00,0.52,3.00,0.89,3.00,0.01
2,3.00,3.00,1.00,3.00,0.99,3.00,0.01
2,3.25,3.00,0.56,3.00,0.89,3.00,0.01
2,3.50,4.00,0.11,3.00,0.84,3.00,0.01
2,3.75,4.00,0.56,4.00,0.89,4.00,0.01
2,4.00,4.00,1.00,4.00,0.98,4.00,0.03
2,4.25,4.00,0.55,4.00,0.89,4.00,0.01
2,4.50,5.00,0.07,4.00,0.84,4.00,0.01
2,4.75,5.00,0.53,5.00,0.88,5.00,0.01
2,5.00,5.00,1.00,5.00,0.98,5.00,0.02
2,5.25,5.00,0.54,5.00,0.89,5.00,0.01
2,5.50,6.00,0.11,5.00,0.84,5.00,0.01
2,5.75,6.00,0.48,6.00,0.88,6.00,0.01
2,6.00,6.00,1.00,6.00,0.97,6.00,0.01
2,6.25,6.00,0.54,6.00,0.89,6.00,0.01
2,6.50,7.00,0.11,6.00,0.84,10.00,0.01
2,6.75,7.00,0.42,7.00,0.88,7.00,0.01
2,7.00,7.00,1.00,7.00,0.98,7.00,0.01
2,7.25,7.00,0.53,7.00,0.89,7.00,0.01
2,7.50,8.00,0.12,7.00,0.84,7.00,0.01
2,7.75,8.00,0.48,8.00,0.88,8.00,0.01
2,8.00,8.00,1.00,8.00,0.97,8.00,0.02
2,8.25,8.00,0.53,8.00,0.89,8.00,0.01
2,8.50,9.00,0.07,8.00,0.84,8.00,0.01
2,8.75,9.00,0.46,9.00,0.89,9.00,0.01
2,9.00,9.00,1.00,9.00,0.98,9.00,0.02
2,9.25,9.00,0.48,9.00,0.89,9.00,0.01
2,9.50,9.00,0.07,9.00,0.84,10.00,0.01
2,9.75,10.00,0.55,10.00,0.89,10.00,0.01
2,10.00,10.00,1.00,10.00,0.98,10.00,0.02
3,-10.00,-10.00,1.00,-10.00,0.96,-10.00,0.04
3,-9.75,-10.00,0.52,-10.00,0.87,-10.00,0.01
3,-9.50,-10.00,0.08,-9.00,0.83,-9.00,0.01
3,-9.25,-9.00,0.49,-9.00,0.88,-9.00,0.02
3,-9.00,-9.00,1.00,-9.00,0.96,-9.00,0.02
3,-8.75,-9.00,0.52,-9.00,0.87,-9.00,0.01
3,-8.50,-9.00,0.07,-8.00,0.83,-8.00,0.01
3,-8.25,-8.00,0.49,-8.00,0.88,-8.00,0.02
3,-8.00,-8.00,1.00,-8.00,0.96,-8.00,0.02
3,-7.75,-8.00,0.46,-8.00,0.87,-8.00,0.01
3,-7.50,-7.00,0.09,-7.00,0.83,-7.00,0.01
3,-7.25,-7.00,0.57,-7.00,0.87,-7.00,0.03
3,-7.00,-7.00,1.00,-7.00,0.96,-7.00,0.05
3,-6.75,-7.00,0.58,-7.00,0.86,-7.00,0.01
3,-6.50,-6.00,0.08,-6.00,0.83,-7.00,0.01
3,-6.25,-6.00,0.52,-6.00,0.87,-6.00,0.02
3,-6.00,-6.00,1.00,-6.00,0.96,-6.00,0.02
3,-5.75,-6.00,0.55,-6.00,0.87,-6.00,0.01
3,-5.50,-5.00,0.11,-5.00,0.83,-5.00,0.01
3,-5.25,-5.00,0.45,-5.00,0.87,-5.00,0.02
3,-5.00,-5.00,1.00,-5.00,0.97,-5.00,0.05
3,-4.75,-5.00,0.51,-5.00,0.87,-5.00,0.01
3,-4.50,-5.00,0.08,-4.00,0.83,-4.00,0.01
3,-4.25,-4.00,0.55,-4.00,0.88,-4.00,0.02
3,-4.00,-4.00,1.00,-4.00,0.97,-4.00,0.06
3,-3.75,-4.00,0.53,-4.00,0.88,-4.00,0.01
3,-3.50,-4.00,0.08,-3.00,0.83,-3.00,0.01
3,-3.25,-3.00,0.50,-3.00,0.88,-3.00,0.02
3,-3.00,-3.00,1.00,-3.00,0.97,-3.00,0.03
3,-2.75,-3.00,0.59,-3.00,0.87,-3.00,0.02
3,-2.50,-2.00,0.07,-2.00,0.83,-2.00,0.01
3,-2.25,-2.00,0.55,-2.00,0.88,-2.00,0.02
3,-2.00,-2.00,1.00,-2.00,0.98,-2.00,0.04
3,-1.75,-2.00,0.55,-2.00,0.88,-2.00,0.01
3,-1.50,-2.00,0.09,-1.00,0.84,-1.00,0.01
3,-1.25,-1.00,0.49,-1.00,0.89,-1.00,0.01
3,-1.00,-1.00,1.00,-1.00,0.98,-1.00,0.02
3,-0.75,-1.00,0.51,-1.00,0.89,-1.00,0.01
3,-0.50,0.00,0.07,-1.00,0.84,0.00,0.01
3,-0.25,0.00,0.45,-0.00,0.94,0.00,0.02
3,0.00,0.00,1.00,-0.00,0.86,0.00,0.03
3,0.25,0.00,0.51,-0.00,0.94,0.00,0.01
3,0.50,0.00,0.07,1.00,0.85,0.00,0.01
3,0.75,1.00,0.46,1.00,0.89,1.00,0.01
3,1.00,1.00,1.00,1.00,0.98,1.00,0.02
3,1.25,1.00,0.51,1.00,0.89,1.00,0.01
3,1.50,1.00,0.07,1.00,0.84,1.00,0.01
3,1.75,2.00,0.53,2.00,0.88,2.00,0.01
3,2.00,2.00,1.00,2.00,0.98,2.00,0.02
3,2.25,2.00,0.53,2.00,0.88,2.00,0.02
3,2.50,3.00,0.05,3.00,0.83,2.00,0.01
3,2.75,3.00,0.47,3.00,0.87,3.00,0.01
3,3.00,3.00,1.00,3.00,0.97,3.00,0.03
3,3.25,3.00,0.55,3.00,0.88,3.00,0.01
3,3.50,3.00,0.09,3.00,0.83,4.00,0.01
3,3.75,4.00,0.55,4.00,0.88,4.00,0.01
3,4.00,4.00,1.00,4.00,0.97,4.00,0.03
3,4.25,4.00,0.50,4.00,0.87,4.00,0.01
3,4.50,4.00,0.08,4.00,0.83,4.00,0.01
3,4.75,5.00,0.48,5.00,0.87,5.00,0.01
3,5.00,5.00,1.00,5.00,0.97,5.00,0.04
3,5.25,5.00,0.39,5.00,0.87,5.00,0.01
3,5.50,6.00,0.09,6.00,0.83,6.00,0.01
3,5.75,6.00,0.40,6.00,0.87,6.00,0.01
3,6.00,6.00,1.00,6.00,0.96,6.00,0.03
3,6.25,6.00,0.50,6.00,0.87,6.00,0.02
3,6.50,7.00,0.08,6.00,0.83,7.00,0.01
3,6.75,7.00,0.46,7.00,0.87,7.00,0.02
3,7.00,7.00,1.00,7.00,0.96,7.00,0.02
3,7.25,7.00,0.54,7.00,0.87,7.00,0.02
3,7.50,8.00,0.08,7.00,0.83,7.00,0.01
3,7.75,8.00,0.52,8.00,0.87,8.00,0.02
3,8.00,8.00,1.00,8.00,0.96,8.00,0.03
3,8.25,8.00,0.47,8.00,0.87,8.00,0.02
3,8.50,8.00,0.08,9.00,0.83,8.00,0.01
3,8.75,9.00,0.48,9.00,0.87,9.00,0.01
3,9.00,9.00,1.00,9.00,0.96,9.00,0.03
3,9.25,9.00,0.54,9.00,0.87,9.00,0.02
3,9.50,9.00,0.09,9.00,0.83,9.00,0.01
3,9.75,10.00,0.46,10.00,0.87,10.00,0.02
3,10.00,10.00,1.00,10.00,0.96,10.00,0.04
4,-10.00,-10.00,0.50,-10.00,0.83,-10.00,0.27
4,-9.75,-10.00,0.46,-10.00,0.82,-10.00,0.02
4,-9.50,-10.00,0.14,-10.00,0.80,-9.00,0.01
4,-9.25,-9.00,0.22,-9.00,0.81,-9.00,0.02
4,-9.00,-9.00,0.43,-9.00,0.82,-9.00,0.09
4,-8.75,-9.00,0.41,-9.00,0.82,-9.00,0.02
4,-8.50,-9.00,0.15,-9.00,0.80,-8.00,0.01
4,-8.25,-8.00,0.28,-8.00,0.81,-8.00,0.03
4,-8.00,-8.00,0.43,-8.00,0.82,-8.00,0.25
4,-7.75,-8.00,0.50,-8.00,0.81,-8.00,0.01
4,-7.50,-7.00,0.15,-8.00,0.80,-8.00,0.01
4,-7.25,-7.00,0.29,-7.00,0.81,-7.00,0.04
4,-7.00,-7.00,0.46,-7.00,0.82,-7.00,0.21
4,-6.75,-7.00,0.50,-7.00,0.82,-7.00,0.02
4,-6.50,-6.00,0.13,-7.00,0.80,-7.00,0.01
4,-6.25,-6.00,0.34,-6.00,0.81,-6.00,0.03
4,-6.00,-6.00,0.46,-6.00,0.82,-6.00,0.23
4,-5.75,-6.00,0.43,-6.00,0.82,-6.00,0.02
4,-5.50,-6.00,0.20,-6.00,0.80,-6.00,0.01
4,-5.25,-5.00,0.28,-5.00,0.81,-5.00,0.03
4,-5.00,-5.00,0.69,-5.00,0.82,-5.00,0.19
