index,angle,houghAngle,houghConfidence,projectionAngle,projectionConfidence,freqHoughAngle,freqHoughConfidence
2,-6.00,-6.00,1.00,-6.00,0.46,-6.00,0.05
2,-5.75,-6.00,1.00,-6.00,0.26,-6.00,0.02
2,-5.50,-5.00,0.46,-6.00,0.17,-5.00,0.01
2,-5.25,-5.00,1.00,-5.00,0.27,-5.00,0.03
2,-5.00,-5.00,1.00,-5.00,0.47,-5.00,0.09
2,-4.75,-5.00,0.94,-5.00,0.27,-5.00,0.02
2,-4.50,-4.00,0.43,-4.00,0.17,-3.00,0.01
2,-4.25,-4.00,1.00,-4.00,0.28,-4.00,0.04
2,-4.00,-4.00,1.00,-4.00,0.46,-4.00,0.43
2,-3.75,-4.00,1.00,-4.00,0.28,-4.00,0.02
2,-3.50,-3.00,0.48,-3.00,0.18,-3.00,0.02
2,-3.25,-3.00,1.00,-3.00,0.28,-3.00,0.02
2,-3.00,-3.00,1.00,-3.00,0.49,-3.00,0.08
2,-2.75,-3.00,1.00,-3.00,0.29,-3.00,0.02
2,-2.50,-2.00,0.42,-3.00,0.18,-3.00,0.01
2,-2.25,-2.00,1.00,-2.00,0.30,-2.00,0.05
2,-2.00,-2.00,1.00,-2.00,0.50,-2.00,0.03
2,-1.75,-2.00,1.00,-2.00,0.30,-2.00,0.02
2,-1.50,-2.00,0.46,-2.00,0.18,0.00,0.02
2,-1.25,-1.00,1.00,-1.00,0.31,-1.00,0.03
2,-1.00,-1.00,1.00,-1.00,0.50,-1.00,0.05
2,-0.75,-1.00,0.97,-1.00,0.33,-1.00,0.02
2,-0.50,-1.00,0.47,-0.00,0.27,-1.00,0.01
2,-0.25,0.00,1.00,-1.00,0.15,0.00,0.02
2,0.00,0.00,1.00,-0.00,0.34,0.00,1.00
2,0.25,0.00,0.97,1.00,0.15,0.00,0.03
2,0.50,1.00,0.41,-0.00,0.27,1.00,0.01
2,0.75,1.00,1.00,1.00,0.33,1.00,0.02
2,1.00,1.00,1.00,1.00,0.50,1.00,0.03
2,1.25,1.00,1.00,1.00,0.32,1.00,0.04
2,1.50,2.00,0.48,1.00,0.17,4.00,0.01
2,1.75,2.00,1.00,2.00,0.30,2.00,0.02
2,2.00,2.00,1.00,2.00,0.50,2.00,0.06
2,2.25,2.00,1.00,2.00,0.30,2.00,0.03
2,2.50,3.00,0.43,2.00,0.19,3.00,0.01
2,2.75,3.00,1.00,3.00,0.29,3.00,0.02
2,3.00,3.00,1.00,3.00,0.49,3.00,0.04
2,3.25,3.00,0.96,3.00,0.29,3.00,0.02
2,3.50,4.00,0.47,3.00,0.18,3.00,0.02
2,3.75,4.00,1.00,4.00,0.28,4.00,0.02
2,4.00,4.00,1.00,4.00,0.46,4.00,0.50
2,4.25,4.00,1.00,4.00,0.28,4.00,0.03
2,4.50,5.00,0.43,4.00,0.18,4.00,0.01
2,4.75,5.00,1.00,5.00,0.27,5.00,0.02
2,5.00,5.00,1.00,5.00,0.46,5.00,0.05
2,5.25,5.00,0.97,5.00,0.27,5.00,0.03
2,5.50,6.00,0.46,5.00,0.17,5.00,0.01
2,5.75,6.00,1.00,6.00,0.27,6.00,0.02
2,6.00,6.00,1.00,6.00,0.44,6.00,0.03
2,6.25,6.00,1.00,6.00,0.28,6.00,0.04
2,6.50,7.00,0.46,6.00,0.18,10.00,0.01
2,6.75,7.00,1.00,7.00,0.27,7.00,0.03
2,7.00,7.00,1.00,7.00,0.45,7.00,0.04
2,7.25,7.00,0.96,7.00,0.28,7.00,0.04
2,7.50,8.00,0.47,7.00,0.17,7.00,0.01
2,7.75,8.00,1.00,8.00,0.27,8.00,0.02
2,8.00,8.00,1.00,8.00,0.45,8.00,0.08
2,8.25,8.00,1.00,8.00,0.28,8.00,0.02
2,8.50,9.00,0.43,8.00,0.18,8.00,0.01
2,8.75,9.00,1.00,9.00,0.27,9.00,0.02
2,9.00,9.00,1.00,9.00,0.46,9.00,0.05
2,9.25,9.00,0.91,9.00,0.27,9.00,0.02
2,9.50,9.00,0.46,9.00,0.18,10.00,0.01
2,9.75,10.00,1.00,10.00,0.28,10.00,0.02
2,10.00,10.00,1.00,10.00,0.46,10.00,0.17
3,-10.00,-10.00,1.00,-10.00,0.43,-10.00,0.66
3,-9.75,-10.00,1.00,-10.00,0.25,-10.00,0.04
3,-9.50,-10.00,0.46,-9.00,0.16,-9.00,0.03
3,-9.25,-9.00,1.00,-9.00,0.25,-9.00,0.10
3,-9.00,-9.00,1.00,-9.00,0.41,-9.00,0.12
3,-8.75,-9.00,1.00,-9.00,0.24,-9.00,0.04
3,-8.50,-9.00,0.45,-8.00,0.16,-8.00,0.04
