imageNr,imageAngle,thetaHough,confidenceHough,thetaFourier,confidenceFourier,thetaProj,confidenceProj,
1,-3.000000,-3.000006,1.000000,-3.000008,0.996292,-3.000000,0.984731,
1,-3.100000,-3.000006,1.000000,-3.000008,0.998153,-3.000000,0.982029,
1,-3.200000,-3.000006,1.000000,-3.000008,0.997907,-3.000000,0.976403,
1,-3.300000,-3.000006,0.999229,-4.000000,0.995693,0.000000,0.978012,
1,-3.400000,-3.000006,0.997997,-3.000008,0.999407,5.000000,0.974768,
1,-3.500000,-3.000006,0.997321,-3.000008,0.999382,-3.000000,0.968414,
1,-3.600000,-3.999999,0.997350,-4.000000,0.998327,5.000000,0.976180,
1,-3.700000,-3.999999,0.999080,-4.000000,0.998428,0.000000,0.974642,
1,-3.800000,-3.999999,1.000000,-4.000000,0.998308,1.000000,0.980946,
1,-3.900000,-3.999999,1.000000,-4.000000,0.997747,-4.000000,0.981641,
1,-4.000000,-3.999999,1.000000,-4.000000,0.996111,-4.000000,0.983779,
1,-4.100000,-3.999999,1.000000,-3.000008,0.997512,-4.000000,0.981770,
1,-4.200000,-3.999999,1.000000,-3.000008,0.997700,-4.000000,0.974538,
1,-4.300000,-3.999999,0.999350,-4.000000,0.998382,-4.000000,0.973276,
1,-4.400000,-3.999999,0.997884,-5.000000,0.997586,2.000000,0.974699,
1,-4.500000,-5.000002,0.996185,-5.000000,0.998388,-4.000000,0.964153,
1,-4.600000,-5.000002,0.998010,-5.000000,0.999458,0.000000,0.974549,
1,-4.700000,-5.000002,0.999193,-4.000000,0.998626,0.000000,0.973326,
1,-4.800000,-5.000002,1.000000,-5.000000,0.999290,-5.000000,0.975745,
1,-4.900000,-5.000002,1.000000,-5.000000,0.999163,-5.000000,0.978916,
1,-5.000000,-5.000002,1.000000,-5.000000,0.999113,-5.000000,0.983664,
2,5.000000,4.999998,1.000000,5.000000,0.999599,5.000000,0.980691,
2,4.900000,4.999998,1.000000,5.000000,0.999587,5.000000,0.982329,
2,4.800000,4.999998,1.000000,5.000000,0.999553,5.000000,0.978759,
2,4.700000,4.999998,0.999608,5.000000,0.999578,5.000000,0.976131,
2,4.600000,4.999998,0.997873,5.000000,0.999635,5.000000,0.964902,
2,4.500000,4.000004,0.997322,5.000000,0.999382,0.000000,0.970571,
2,4.400000,4.000004,0.997815,5.000000,0.999366,0.000000,0.968222,
2,4.300000,4.000004,0.998886,4.000008,0.996758,4.000000,0.972353,
2,4.200000,4.000004,1.000000,5.000000,0.999006,4.000000,0.977736,
2,4.100000,4.000004,1.000000,4.000008,0.990877,4.000000,0.981003,
2,4.000000,4.000004,1.000000,3.000000,0.983744,4.000000,0.981199,
2,3.900000,4.000004,1.000000,3.000000,0.995353,4.000000,0.980254,
2,3.800000,4.000004,1.000000,3.000000,0.994583,4.000000,0.980822,
2,3.700000,4.000004,0.999478,3.000000,0.996673,4.000000,0.978300,
2,3.600000,4.000004,0.997871,3.000000,0.996369,4.000000,0.969043,
2,3.500000,3.000001,0.996940,4.000008,0.996841,3.000000,0.970987,
2,3.400000,3.000001,0.997660,4.000008,0.988192,3.000000,0.967206,
2,3.300000,3.000001,0.999269,4.000008,0.989778,3.000000,0.969141,
2,3.200000,3.000001,1.000000,4.000008,0.991781,3.000000,0.977940,
2,3.100000,3.000001,1.000000,4.000008,0.996104,3.000000,0.983802,
2,3.000000,3.000001,1.000000,4.000008,0.996023,3.000000,0.981690,
2,2.900000,3.000001,1.000000,3.000000,0.997719,3.000000,0.981053,
2,2.800000,3.000001,1.000000,3.000000,0.996651,3.000000,0.976282,
2,2.700000,3.000001,0.999476,3.000000,0.994785,3.000000,0.975332,
