index,angle,houghAngle,houghConfidence,projectionAngle,projectionConfidence,freqHoughAngle,freqHoughConfidence
2,-6.00,-6.00,1.00,-6.00,0.92,-6.00,1.00
2,-5.75,-6.00,1.00,-6.00,0.52,-6.00,0.78
2,-5.50,-5.00,0.50,-6.00,0.34,-5.00,0.08
2,-5.25,-5.00,1.00,-5.00,0.54,-5.00,1.00
2,-5.00,-5.00,1.00,-5.00,0.93,-5.00,1.00
2,-4.75,-5.00,1.00,-5.00,0.53,-5.00,0.35
2,-4.50,-4.00,0.46,-4.00,0.34,-3.00,0.04
2,-4.25,-4.00,1.00,-4.00,0.55,-4.00,1.00
2,-4.00,-4.00,1.00,-4.00,0.92,-4.00,1.00
2,-3.75,-4.00,1.00,-4.00,0.56,-4.00,0.11
2,-3.50,-3.00,0.53,-3.00,0.35,-3.00,0.08
2,-3.25,-3.00,1.00,-3.00,0.56,-3.00,0.28
2,-3.00,-3.00,1.00,-3.00,0.97,-3.00,1.00
2,-2.75,-3.00,1.00,-3.00,0.58,-3.00,0.26
2,-2.50,-2.00,0.40,-3.00,0.36,-3.00,0.05
2,-2.25,-2.00,1.00,-2.00,0.59,-2.00,1.00
2,-2.00,-2.00,1.00,-2.00,0.99,-2.00,1.00
2,-1.75,-2.00,1.00,-2.00,0.59,-2.00,1.00
2,-1.50,-2.00,0.56,-2.00,0.35,0.00,0.05
2,-1.25,-1.00,1.00,-1.00,0.61,-1.00,1.00
2,-1.00,-1.00,1.00,-1.00,1.00,-1.00,1.00
2,-0.75,-1.00,1.00,-1.00,0.66,-1.00,0.17
2,-0.50,-1.00,0.48,-0.00,0.53,-1.00,0.04
2,-0.25,0.00,1.00,-1.00,0.30,0.00,0.53
2,0.00,0.00,1.00,-0.00,0.68,0.00,1.00
2,0.25,0.00,1.00,1.00,0.30,0.00,0.78
2,0.50,1.00,0.50,-0.00,0.54,1.00,0.06
2,0.75,1.00,1.00,1.00,0.66,1.00,0.20
2,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2,1.25,1.00,1.00,1.00,0.63,1.00,1.00
2,1.50,2.00,0.57,1.00,0.35,4.00,0.04
2,1.75,2.00,1.00,2.00,0.59,2.00,1.00
2,2.00,2.00,1.00,2.00,0.99,2.00,1.00
2,2.25,2.00,1.00,2.00,0.59,2.00,1.00
2,2.50,3.00,0.54,2.00,0.37,3.00,0.04
2,2.75,3.00,1.00,3.00,0.57,3.00,0.15
2,3.00,3.00,1.00,3.00,0.97,3.00,1.00
2,3.25,3.00,1.00,3.00,0.57,3.00,1.00
2,3.50,4.00,0.43,3.00,0.36,3.00,0.10
2,3.75,4.00,1.00,4.00,0.55,4.00,0.16
2,4.00,4.00,1.00,4.00,0.91,4.00,1.00
2,4.25,4.00,1.00,4.00,0.56,4.00,1.00
2,4.50,5.00,0.45,4.00,0.35,4.00,0.06
2,4.75,5.00,1.00,5.00,0.53,5.00,0.64
2,5.00,5.00,1.00,5.00,0.91,5.00,1.00
2,5.25,5.00,1.00,5.00,0.54,5.00,1.00
2,5.50,6.00,0.54,5.00,0.34,5.00,0.06
2,5.75,6.00,1.00,6.00,0.53,6.00,1.00
2,6.00,6.00,1.00,6.00,0.88,6.00,1.00
2,6.25,6.00,1.00,6.00,0.55,6.00,1.00
2,6.50,7.00,0.56,6.00,0.35,10.00,0.06
2,6.75,7.00,1.00,7.00,0.54,7.00,0.73
2,7.00,7.00,1.00,7.00,0.90,7.00,1.00
2,7.25,7.00,1.00,7.00,0.55,7.00,1.00
2,7.50,8.00,0.45,7.00,0.34,7.00,0.06
2,7.75,8.00,1.00,8.00,0.53,8.00,1.00
2,8.00,8.00,1.00,8.00,0.89,8.00,1.00
2,8.25,8.00,1.00,8.00,0.56,8.00,0.53
2,8.50,9.00,0.47,8.00,0.36,8.00,0.05
2,8.75,9.00,1.00,9.00,0.54,9.00,1.00
2,9.00,9.00,1.00,9.00,0.91,9.00,1.00
2,9.25,9.00,1.00,9.00,0.54,9.00,1.00
2,9.50,9.00,0.49,9.00,0.36,10.00,0.05
2,9.75,10.00,1.00,10.00,0.55,10.00,0.23
2,10.00,10.00,1.00,10.00,0.92,10.00,1.00
3,-10.00,-10.00,1.00,-10.00,0.85,-10.00,1.00
3,-9.75,-10.00,1.00,-10.00,0.50,-10.00,0.71
3,-9.50,-10.00,0.44,-9.00,0.31,-9.00,0.29
3,-9.25,-9.00,1.00,-9.00,0.50,-9.00,1.00
3,-9.00,-9.00,1.00,-9.00,0.82,-9.00,1.00
3,-8.75,-9.00,1.00,-9.00,0.48,-9.00,0.69
3,-8.50,-9.00,0.45,-8.00,0.32,-8.00,0.71
3,-8.25,-8.00,1.00,-8.00,0.50,-8.00,1.00
3,-8.00,-8.00,1.00,-8.00,0.85,-8.00,1.00
3,-7.75,-8.00,1.00,-8.00,0.48,-8.00,0.71
3,-7.50,-7.00,0.48,-7.00,0.32,-7.00,0.55
3,-7.25,-7.00,1.00,-7.00,0.50,-7.00,1.00
3,-7.00,-7.00,1.00,-7.00,0.84,-7.00,1.00
3,-6.75,-7.00,1.00,-7.00,0.45,-7.00,1.00
3,-6.50,-6.00,0.55,-6.00,0.32,-7.00,0.67
3,-6.25,-6.00,1.00,-6.00,0.50,-6.00,1.00
3,-6.00,-6.00,1.00,-6.00,0.85,-6.00,1.00
3,-5.75,-6.00,1.00,-6.00,0.48,-6.00,0.55
3,-5.50,-5.00,0.61,-5.00,0.32,-5.00,0.51
3,-5.25,-5.00,1.00,-5.00,0.48,-5.00,1.00
3,-5.00,-5.00,1.00,-5.00,0.87,-5.00,1.00
3,-4.75,-5.00,1.00,-5.00,0.49,-5.00,0.38
3,-4.50,-5.00,0.41,-4.00,0.32,-4.00,1.00
3,-4.25,-4.00,1.00,-4.00,0.51,-4.00,1.00
3,-4.00,-4.00,1.00,-4.00,0.89,-4.00,1.00
3,-3.75,-4.00,1.00,-4.00,0.51,-4.00,0.68
3,-3.50,-4.00,0.46,-3.00,0.31,-3.00,0.35
3,-3.25,-3.00,1.00,-3.00,0.52,-3.00,1.00
3,-3.00,-3.00,1.00,-3.00,0.89,-3.00,1.00
3,-2.75,-3.00,1.00,-3.00,0.48,-3.00,1.00
3,-2.50,-2.00,0.50,-2.00,0.32,-2.00,0.68
3,-2.25,-2.00,1.00,-2.00,0.52,-2.00,1.00
3,-2.00,-2.00,1.00,-2.00,0.94,-2.00,1.00
3,-1.75,-2.00,1.00,-2.00,0.51,-2.00,1.00
3,-1.50,-2.00,0.38,-1.00,0.35,-1.00,0.55
3,-1.25,-1.00,1.00,-1.00,0.56,-1.00,1.00
3,-1.00,-1.00,1.00,-1.00,0.93,-1.00,1.00
3,-0.75,-1.00,1.00,-1.00,0.57,-1.00,1.00
3,-0.50,0.00,0.52,-1.00,0.38,0.00,0.23
3,-0.25,0.00,1.00,-0.00,0.77,0.00,1.00
3,0.00,0.00,1.00,-0.00,0.43,0.00,1.00
3,0.25,0.00,1.00,-0.00,0.76,0.00,1.00
3,0.50,0.00,0.41,1.00,0.38,0.00,0.40
3,0.75,1.00,1.00,1.00,0.57,1.00,1.00
3,1.00,1.00,1.00,1.00,0.92,1.00,1.00
3,1.25,1.00,1.00,1.00,0.54,1.00,1.00
3,1.50,1.00,0.41,1.00,0.34,1.00,1.00
3,1.75,2.00,1.00,2.00,0.52,2.00,1.00
3,2.00,2.00,1.00,2.00,0.93,2.00,1.00
3,2.25,2.00,1.00,2.00,0.51,2.00,1.00
3,2.50,3.00,0.53,3.00,0.31,2.00,0.50
3,2.75,3.00,1.00,3.00,0.49,3.00,1.00
3,3.00,3.00,1.00,3.00,0.87,3.00,1.00
3,3.25,3.00,1.00,3.00,0.51,3.00,1.00
3,3.50,3.00,0.45,3.00,0.31,4.00,0.51
3,3.75,4.00,1.00,4.00,0.51,4.00,0.70
3,4.00,4.00,1.00,4.00,0.87,4.00,1.00
3,4.25,4.00,1.00,4.00,0.49,4.00,1.00
3,4.50,4.00,0.44,4.00,0.32,4.00,1.00
3,4.75,5.00,1.00,5.00,0.48,5.00,0.71
3,5.00,5.00,1.00,5.00,0.87,5.00,1.00
3,5.25,5.00,1.00,5.00,0.47,5.00,1.00
3,5.50,6.00,0.61,6.00,0.32,6.00,0.50
3,5.75,6.00,1.00,6.00,0.48,6.00,1.00
3,6.00,6.00,1.00,6.00,0.84,6.00,1.00
3,6.25,6.00,1.00,6.00,0.50,6.00,1.00
3,6.50,7.00,0.56,6.00,0.31,7.00,0.68
3,6.75,7.00,1.00,7.00,0.47,7.00,1.00
3,7.00,7.00,1.00,7.00,0.84,7.00,1.00
3,7.25,7.00,1.00,7.00,0.49,7.00,1.00
3,7.50,8.00,0.54,7.00,0.31,7.00,0.54
3,7.75,8.00,1.00,8.00,0.47,8.00,0.71
3,8.00,8.00,1.00,8.00,0.83,8.00,1.00
3,8.25,8.00,1.00,8.00,0.48,8.00,1.00
3,8.50,8.00,0.40,9.00,0.32,8.00,0.55
3,8.75,9.00,1.00,9.00,0.49,9.00,0.70
3,9.00,9.00,1.00,9.00,0.83,9.00,1.00
3,9.25,9.00,1.00,9.00,0.49,9.00,1.00
3,9.50,9.00,0.42,9.00,0.31,9.00,0.55
3,9.75,10.00,1.00,10.00,0.50,10.00,1.00
3,10.00,10.00,1.00,10.00,0.83,10.00,1.00
4,-10.00,-10.00,1.00,-10.00,0.30,-10.00,1.00
4,-9.75,-10.00,1.00,-10.00,0.27,-10.00,1.00
4,-9.50,-10.00,0.53,-10.00,0.22,-9.00,0.52
4,-9.25,-9.00,1.00,-9.00,0.24,-9.00,1.00
4,-9.00,-9.00,1.00,-9.00,0.27,-9.00,1.00
4,-8.75,-9.00,1.00,-9.00,0.27,-9.00,1.00
4,-8.50,-9.00,0.67,-9.00,0.21,-8.00,0.51
4,-8.25,-8.00,1.00,-8.00,0.23,-8.00,1.00
4,-8.00,-8.00,1.00,-8.00,0.28,-8.00,1.00
4,-7.75,-8.00,1.00,-8.00,0.26,-8.00,1.00
4,-7.50,-7.00,0.34,-8.00,0.21,-8.00,0.50
4,-7.25,-7.00,1.00,-7.00,0.22,-7.00,1.00
4,-7.00,-7.00,1.00,-7.00,0.28,-7.00,1.00
4,-6.75,-7.00,1.00,-7.00,0.27,-7.00,1.00
4,-6.50,-6.00,0.49,-7.00,0.20,-7.00,0.50
4,-6.25,-6.00,1.00,-6.00,0.23,-6.00,1.00
4,-6.00,-6.00,1.00,-6.00,0.27,-6.00,1.00
4,-5.75,-6.00,1.00,-6.00,0.29,-6.00,1.00
4,-5.50,-6.00,0.68,-6.00,0.22,-6.00,0.51
