index,angle,houghAngle,projectionAngle,freqHoughAngle
2,9.25,9.00,9.00,9.00
2,9.50,9.00,9.00,10.00
2,9.75,10.00,10.00,10.00
2,10.00,10.00,10.00,10.00
3,-10.00,-10.00,-10.00,-10.00
3,-9.75,-10.00,-10.00,-10.00
3,-9.50,-10.00,-9.00,-9.00
3,-9.25,-9.00,-9.00,-9.00
3,-9.00,-9.00,-9.00,-9.00
3,-8.75,-9.00,-9.00,-9.00
3,-8.50,-9.00,-8.00,-8.00
3,-8.25,-8.00,-8.00,-8.00
3,-8.00,-8.00,-8.00,-8.00
3,-7.75,-8.00,-8.00,-8.00
3,-7.50,-7.00,-7.00,-7.00
3,-7.25,-7.00,-7.00,-7.00
3,-7.00,-7.00,-7.00,-7.00
3,-6.75,-7.00,-7.00,-7.00
3,-6.50,-6.00,-6.00,-7.00
3,-6.25,-6.00,-6.00,-6.00
3,-6.00,-6.00,-6.00,-6.00
3,-5.75,-6.00,-6.00,-6.00
3,-5.50,-5.00,-5.00,-5.00
3,-5.25,-5.00,-5.00,-5.00
3,-5.00,-5.00,-5.00,-5.00
3,-4.75,-5.00,-5.00,-5.00
3,-4.50,-5.00,-4.00,-4.00
3,-4.25,-4.00,-4.00,-4.00
3,-4.00,-4.00,-4.00,-4.00
3,-3.75,-4.00,-4.00,-4.00
3,-3.50,-4.00,-3.00,-3.00
3,-3.25,-3.00,-3.00,-3.00
3,-3.00,-3.00,-3.00,-3.00
3,-2.75,-3.00,-3.00,-3.00
3,-2.50,-2.00,-2.00,-2.00
3,-2.25,-2.00,-2.00,-2.00
3,-2.00,-2.00,-2.00,-2.00
3,-1.75,-2.00,-2.00,-2.00
3,-1.50,-2.00,-1.00,-1.00
3,-1.25,-1.00,-1.00,-1.00
3,-1.00,-1.00,-1.00,-1.00
3,-0.75,-1.00,-1.00,-1.00
3,-0.50,0.00,-1.00,0.00
3,-0.25,0.00,-0.00,0.00
3,0.00,0.00,-0.00,0.00
3,0.25,0.00,-0.00,0.00
3,0.50,0.00,1.00,0.00
3,0.75,1.00,1.00,1.00
3,1.00,1.00,1.00,1.00
3,1.25,1.00,1.00,1.00
3,1.50,1.00,1.00,1.00
3,1.75,2.00,2.00,2.00
3,2.00,2.00,2.00,2.00
3,2.25,2.00,2.00,2.00
3,2.50,3.00,3.00,2.00
3,2.75,3.00,3.00,3.00
3,3.00,3.00,3.00,3.00
3,3.25,3.00,3.00,3.00
3,3.50,3.00,3.00,4.00
3,3.75,4.00,4.00,4.00
3,4.00,4.00,4.00,4.00
3,4.25,4.00,4.00,4.00
3,4.50,4.00,4.00,4.00
3,4.75,5.00,5.00,5.00
3,5.00,5.00,5.00,5.00
3,5.25,5.00,5.00,5.00
3,5.50,6.00,6.00,6.00
3,5.75,6.00,6.00,6.00
3,6.00,6.00,6.00,6.00
3,6.25,6.00,6.00,6.00
3,6.50,7.00,6.00,7.00
3,6.75,7.00,7.00,7.00
3,7.00,7.00,7.00,7.00
3,7.25,7.00,7.00,7.00
3,7.50,8.00,7.00,7.00
3,7.75,8.00,8.00,8.00
3,8.00,8.00,8.00,8.00
3,8.25,8.00,8.00,8.00
3,8.50,8.00,9.00,8.00
3,8.75,9.00,9.00,9.00
3,9.00,9.00,9.00,9.00
3,9.25,9.00,9.00,9.00
3,9.50,9.00,9.00,9.00
3,9.75,10.00,10.00,10.00
3,10.00,10.00,10.00,10.00
4,-10.00,-10.00,-10.00,-10.00
4,-9.75,-10.00,-10.00,-10.00
